avg_temp,precip,snow,wind_dir,wind_speed,wind_power,air_pressure,max_temp,min_temp,features,prediction
8.4,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,9.3,7.4,"[8.4,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,9.3,7.4]",0
6.6,7.6,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,8.0,5.4,"[6.6,7.6,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,8.0,5.4]",0
2.8,6.3,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,4.4,1.0,"[2.8,6.3,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,4.4,1.0]",0
5.4,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,10.1,2.7,"[5.4,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,10.1,2.7]",0
7.3,2.5,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,10.3,3.6,"[7.3,2.5,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,10.3,3.6]",0
1.5,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,3.3,0.0,"[1.5,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,3.3,0.0]",0
-1.7,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,-1.1,-2.8,"[-1.7,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,-1.1,-2.8]",0
15.8,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,20.9,11.8,"[15.8,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,20.9,11.8]",0
17.2,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,22.5,12.8,"[17.2,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,22.5,12.8]",0
17.9,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,25.3,12.8,"[17.9,0.0,0.0,156.79842342342343,7.330333333333331,27.49700000000003,1017.9635555555559,25.3,12.8]",0
